Fare,Age,Sex_female,Sex_male
15.2458,29.0,1,0
10.5,31.0,0,1
37.0042,31.0,0,1
4.0125,20.0,0,1
7.25,21.0,0,1
28.5,45.5,0,1
8.05,22.0,0,1
7.8792,29.0,1,0
0.0,29.0,0,1
7.775,26.0,0,1
30.0,25.0,1,0
9.825,21.0,1,0
52.0,31.0,0,1
7.225,15.0,1,0
7.7375,29.0,1,0
7.75,29.0,0,1
61.9792,65.0,0,1
8.05,29.0,0,1
11.1333,1.0,1,0
26.55,34.0,0,1
0.0,49.0,0,1
8.05,18.0,0,1
14.4542,29.0,1,0
10.5,70.0,0,1
11.2417,14.0,1,0
8.05,19.0,0,1
24.0,30.0,0,1
18.0,31.0,1,0
8.3625,32.0,0,1
7.7333,16.0,1,0
8.05,50.0,0,1
7.05,24.0,0,1
35.5,56.0,0,1
39.6875,7.0,0,1
15.2458,9.0,1,0
12.275,33.0,0,1
7.8958,19.0,0,1
30.0708,32.5,0,1
20.575,1.0,0,1
27.9,45.0,1,0
110.8833,29.0,1,0
7.775,19.0,0,1
262.375,21.0,1,0
16.7,4.0,1,0
7.8958,28.0,0,1
7.925,17.0,1,0
16.1,30.0,0,1
7.25,22.0,0,1
13.5,45.0,1,0
0.0,25.0,0,1
20.2125,18.0,0,1
9.5,33.0,0,1
65.0,24.0,1,0
7.925,26.0,1,0
10.5167,22.0,1,0
26.55,56.0,0,1
15.85,28.0,0,1
512.3292,35.0,1,0
33.0,6.0,1,0
19.5,41.0,1,0
7.3125,29.0,0,1
7.2292,29.0,0,1
93.5,52.0,1,0
7.925,32.0,0,1
26.0,35.0,0,1
79.65,18.0,1,0
15.2458,29.0,0,1
8.1375,29.0,1,0
7.8958,29.0,0,1
8.05,29.0,0,1
12.475,27.0,1,0
7.8958,22.0,0,1
18.0,16.0,0,1
110.8833,49.0,0,1
0.0,29.0,0,1
46.9,16.0,1,0
17.8,18.0,1,0
7.75,29.0,1,0
8.05,45.0,0,1
31.3875,3.0,0,1
7.75,70.5,0,1
7.8958,29.0,0,1
21.6792,29.0,0,1
6.4375,34.5,0,1
0.0,40.0,0,1
15.5,29.0,0,1
14.4542,27.0,0,1
7.4958,18.0,1,0
27.7208,29.0,0,1
26.55,51.0,0,1
76.7292,49.0,1,0
46.9,1.0,0,1
77.2875,54.0,0,1
14.4583,29.0,1,0
36.75,8.0,0,1
247.5208,24.0,0,1
8.05,20.0,0,1
8.05,30.0,0,1
7.1417,24.0,0,1
7.8292,29.0,1,0
7.55,29.0,1,0
7.25,25.0,0,1
15.5,29.0,1,0
35.0,29.0,0,1
25.9292,48.0,1,0
7.775,74.0,0,1
7.8958,23.0,0,1
7.2292,17.0,0,1
25.4667,29.0,1,0
13.5,52.0,0,1
52.0,29.0,0,1
13.0,29.0,0,1
21.0,34.0,0,1
22.3583,29.0,1,0
32.5,34.0,1,0
13.0,24.0,1,0
10.5,29.0,0,1
13.0,36.0,0,1
33.5,61.0,0,1
26.55,45.0,0,1
13.0,34.0,0,1
51.8625,29.0,1,0
8.4333,21.0,0,1
19.9667,29.0,0,1
29.0,0.83,0,1
30.0,26.0,0,1
7.75,29.0,1,0
30.5,55.0,0,1
31.275,6.0,1,0
10.5,50.0,1,0
7.8958,26.0,0,1
13.0,34.0,0,1
29.125,39.0,1,0
24.15,30.0,1,0
7.25,29.0,0,1
7.125,22.0,0,1
26.2875,35.0,0,1
52.0,42.0,0,1
9.5,29.0,0,1
69.55,29.0,0,1
7.925,31.0,0,1
7.2292,29.0,0,1
24.15,29.0,1,0
134.5,41.0,1,0
13.0,28.0,1,0
61.175,46.0,0,1
15.5,29.0,0,1
55.9,50.0,0,1
7.05,38.0,0,1
18.7875,11.0,0,1
9.8458,20.0,0,1
21.0,35.0,1,0
24.15,39.0,0,1
20.525,9.0,0,1
10.5,19.0,0,1
15.5,40.0,0,1
8.6625,38.0,0,1
7.225,22.0,0,1
26.55,65.0,0,1
75.25,60.0,1,0
7.25,47.0,0,1
7.8958,29.0,0,1
61.3792,51.0,0,1
7.7958,21.0,0,1
13.0,27.0,0,1
53.1,27.0,0,1
89.1042,49.0,0,1
10.5,29.0,1,0
10.5,16.0,0,1
7.775,21.0,0,1
38.5,47.0,0,1
153.4625,58.0,1,0
15.75,40.0,1,0
7.05,35.0,0,1
7.75,51.0,0,1
13.8583,27.0,1,0
7.8958,33.0,0,1
39.0,4.0,1,0
7.8958,28.0,1,0
13.0,34.0,0,1
46.9,43.0,1,0
25.4667,29.0,1,0
133.65,29.0,1,0
79.65,39.0,1,0
52.0,29.0,1,0
7.775,18.0,1,0
93.5,30.0,1,0
7.925,23.0,1,0
8.05,16.0,0,1
7.8875,26.0,0,1
56.9292,30.0,1,0
7.7958,18.0,0,1
29.125,8.0,0,1
16.0,55.0,1,0
90.0,44.0,0,1
25.4667,29.0,1,0
51.8625,54.0,0,1
27.75,30.0,0,1
9.5,20.0,0,1
12.2875,2.0,1,0
7.925,37.0,0,1
12.35,29.0,1,0
7.8958,29.0,0,1
7.75,16.0,1,0
0.0,19.0,0,1
7.8,21.0,0,1
8.05,29.0,0,1
7.225,29.0,0,1
8.05,29.0,0,1
8.0292,15.0,1,0
21.075,3.0,1,0
6.95,29.0,0,1
76.2917,32.0,1,0
15.5,32.0,1,0
7.875,29.0,0,1
7.8958,29.0,0,1
26.55,48.0,0,1
10.4625,2.0,1,0
11.5,23.0,0,1
13.0,32.0,1,0
27.7208,29.0,0,1
16.1,28.5,0,1
82.1708,29.0,1,0
50.0,29.0,0,1
27.7208,44.0,1,0
8.05,26.0,0,1
34.375,21.0,1,0
40.125,36.0,0,1
14.5,47.0,1,0
31.3875,5.0,1,0
7.925,21.0,0,1
13.0,30.0,0,1
7.8958,28.0,0,1
7.8542,26.0,1,0
9.4833,29.0,0,1
7.2292,29.0,0,1
13.0,24.0,0,1
15.85,32.0,0,1
227.525,29.0,0,1
49.5042,71.0,0,1
34.6542,71.0,0,1
221.7792,29.0,0,1
7.125,41.0,0,1
26.3875,36.0,0,1
56.4958,32.0,0,1
8.05,24.0,0,1
18.0,18.0,1,0
0.0,36.0,0,1
26.0,33.0,1,0
7.25,22.0,0,1
15.5,29.0,0,1
29.125,4.0,0,1
7.925,28.0,0,1
49.5042,24.0,1,0
26.0,36.0,1,0
30.0,29.0,0,1
7.775,29.0,0,1
12.35,57.0,0,1
26.0,29.0,1,0
0.0,39.0,0,1
7.8958,29.0,0,1
8.05,44.0,0,1
13.0,36.0,1,0
37.0042,1.0,0,1
77.2875,21.0,0,1
32.3208,61.0,0,1
7.8958,38.0,0,1
13.0,30.0,0,1
15.0,47.0,0,1
7.7958,24.0,0,1
8.6625,27.0,0,1
7.775,25.0,1,0
11.5,21.0,0,1
26.0,19.0,1,0
11.2417,12.0,0,1
15.0458,23.0,0,1
0.0,29.0,0,1
7.8542,20.0,0,1
13.4167,4.0,1,0
7.225,40.0,0,1
120.0,14.0,1,0
7.25,30.0,0,1
7.0542,17.0,0,1
90.0,38.0,0,1
7.225,29.0,0,1
10.5,57.0,1,0
51.4792,53.0,1,0
13.0,18.0,1,0
15.1,29.0,0,1
7.8958,26.0,0,1
77.9583,51.0,1,0
39.0,40.0,1,0
53.1,35.0,1,0
13.0,25.0,0,1
135.6333,36.0,1,0
9.5,28.0,0,1
10.5,35.0,0,1
15.5,29.0,1,0
9.225,20.0,0,1
27.7208,29.0,0,1
16.1,24.0,0,1
20.525,33.0,0,1
73.5,18.0,0,1
13.0,34.0,1,0
14.4542,18.0,1,0
9.0,47.0,0,1
7.2292,30.0,0,1
26.0,19.0,1,0
9.35,22.0,0,1
7.925,25.0,1,0
23.25,29.0,1,0
69.3,24.0,1,0
15.55,36.0,0,1
153.4625,38.0,0,1
35.5,45.0,0,1
24.15,10.0,1,0
10.1708,19.0,0,1
14.1083,41.0,0,1
512.3292,35.0,0,1
8.6625,17.0,0,1
8.05,29.0,0,1
8.6625,20.0,1,0
8.05,29.0,1,0
27.9,4.0,0,1
26.55,35.0,0,1
23.45,29.0,1,0
7.5208,22.0,0,1
27.9,40.0,0,1
26.25,8.0,1,0
7.7417,25.0,0,1
9.35,18.0,1,0
8.05,22.0,0,1
7.05,25.0,0,1
7.8542,32.0,0,1
7.75,29.0,0,1
26.0,50.0,1,0
25.5875,47.0,0,1
30.0,80.0,0,1
53.1,37.0,0,1
21.075,2.0,0,1
7.6292,29.0,1,0
86.5,33.0,1,0
15.7417,20.0,0,1
39.4,16.0,1,0
18.75,3.0,0,1
7.75,29.0,0,1
17.8,25.0,0,1
14.5,40.5,0,1
13.0,25.0,0,1
79.2,46.0,0,1
7.75,29.0,0,1
13.0,23.0,0,1
10.5,21.0,1,0
7.925,39.0,0,1
13.7917,23.0,1,0
7.725,29.0,0,1
13.0,39.0,0,1
7.75,29.0,1,0
86.5,16.0,1,0
7.2292,29.0,0,1
55.9,39.0,1,0
7.75,29.0,1,0
227.525,38.0,1,0
7.125,35.0,0,1
8.6625,17.0,0,1
66.6,29.0,0,1
46.9,11.0,0,1
211.3375,29.0,1,0
7.75,29.0,0,1
19.9667,29.0,0,1
7.75,30.5,1,0
30.5,52.0,0,1
16.1,21.0,0,1
18.75,24.0,1,0
69.3,24.0,1,0
30.6958,29.0,0,1
10.5,30.0,0,1
42.4,29.0,0,1
9.5,16.0,0,1
15.9,3.0,0,1
41.5792,22.0,1,0
8.05,35.0,0,1
10.5,27.0,1,0
13.0,48.0,0,1
211.3375,15.0,1,0
8.7125,29.0,0,1
57.0,17.0,1,0
24.15,29.0,0,1
7.8958,25.0,0,1
8.6625,30.0,1,0
18.75,0.83,0,1
7.75,45.0,1,0
26.0,29.0,0,1
7.25,29.0,0,1
26.0,28.0,1,0
7.8542,28.0,0,1
73.5,21.0,0,1
5.0,33.0,0,1
31.275,39.0,0,1
26.0,54.0,0,1
7.8958,29.0,0,1
164.8667,45.0,1,0
16.1,44.0,0,1
9.5,29.0,0,1
7.8958,29.0,0,1
7.925,32.0,0,1
7.925,20.0,0,1
146.5208,58.0,1,0
13.0,19.0,0,1
26.55,45.0,0,1
39.6875,1.0,0,1
7.65,21.0,1,0
29.125,2.0,0,1
14.5,19.0,0,1
7.775,31.0,0,1
71.0,36.0,1,0
57.9792,16.0,1,0
46.9,9.0,0,1
151.55,25.0,1,0
26.25,31.0,1,0
21.0,34.0,0,1
73.5,32.0,0,1
20.575,26.0,0,1
7.125,17.0,0,1
47.1,28.0,0,1
7.75,31.0,0,1
56.4958,29.0,0,1
7.925,44.0,0,1
11.1333,4.0,0,1
23.0,18.0,1,0
7.55,23.0,1,0
53.1,33.0,1,0
12.35,30.0,1,0
39.6,48.0,1,0
13.0,38.0,1,0
8.6625,26.0,0,1
7.4958,24.0,0,1
56.4958,26.0,0,1
26.0,2.0,0,1
13.0,27.0,0,1
39.6875,2.0,0,1
7.7958,27.0,0,1
7.75,22.0,1,0
7.8958,29.0,0,1
14.4583,17.0,1,0
22.525,28.0,0,1
69.55,29.0,1,0
69.55,29.0,1,0
25.4667,29.0,0,1
25.925,29.0,0,1
16.1,29.0,1,0
7.25,22.0,1,0
512.3292,36.0,0,1
7.75,18.0,0,1
11.5,18.0,0,1
41.5792,25.0,0,1
7.8958,36.0,0,1
26.2833,19.0,1,0
19.5,13.0,1,0
20.25,16.0,0,1
20.2125,41.0,1,0
23.45,29.0,0,1
78.85,26.0,1,0
8.3,18.0,0,1
12.475,6.0,0,1
13.5,59.0,0,1
76.7292,48.0,0,1
10.5,66.0,0,1
263.0,23.0,1,0
7.8792,19.0,1,0
263.0,24.0,1,0
80.0,38.0,1,0
69.55,29.0,0,1
13.0,24.0,1,0
8.05,32.0,0,1
7.775,29.0,0,1
16.7,24.0,1,0
151.55,2.0,1,0
14.4542,26.0,0,1
113.275,23.0,1,0
13.8625,29.0,0,1
7.925,32.0,0,1
31.275,9.0,1,0
8.05,34.0,0,1
78.85,36.0,0,1
13.0,30.0,1,0
7.4958,36.0,0,1
27.0,42.0,0,1
49.5,22.0,1,0
34.375,48.0,1,0
7.8542,21.0,0,1
8.05,43.0,0,1
0.0,29.0,0,1
7.7333,21.0,0,1
9.2167,16.0,0,1
7.25,22.0,0,1
14.4,34.0,0,1
53.1,19.0,0,1
71.0,70.0,0,1
9.5,24.0,0,1
8.05,30.5,0,1
10.5,24.0,0,1
8.1583,19.0,0,1
21.075,8.0,1,0
15.7417,1.0,1,0
7.925,27.0,1,0
6.975,45.0,0,1
8.6625,42.0,0,1
14.4542,14.5,1,0
55.0,29.0,1,0
18.7875,26.0,0,1
263.0,64.0,0,1
7.8292,29.0,0,1
7.75,29.0,1,0
83.1583,56.0,1,0
78.2667,52.0,1,0
26.55,29.0,0,1
7.75,40.5,0,1
7.8958,22.0,0,1
19.2583,0.75,1,0
6.2375,61.0,0,1
8.05,29.0,0,1
26.55,29.0,0,1
13.0,18.0,0,1
13.0,31.0,0,1
24.15,36.0,0,1
81.8583,4.0,0,1
21.0,29.0,0,1
8.05,29.0,0,1
31.3875,38.0,1,0
52.0,47.0,0,1
13.0,42.0,0,1
8.05,55.5,0,1
7.925,39.0,0,1
8.05,44.0,0,1
52.5542,42.0,0,1
8.05,34.0,0,1
7.225,29.0,0,1
79.2,24.0,0,1
7.75,29.0,0,1
29.0,22.0,1,0
13.0,42.0,1,0
52.5542,37.0,0,1
27.75,36.0,0,1
7.8958,29.0,0,1
30.5,27.0,0,1
7.225,29.0,1,0
20.525,31.0,1,0
7.2292,23.5,0,1
135.6333,35.0,1,0
10.5,19.0,0,1
7.25,59.0,0,1
34.0208,47.0,0,1
26.25,31.0,0,1
7.75,65.0,0,1
9.5,30.0,0,1
8.05,29.0,0,1
56.4958,29.0,0,1
8.1125,29.0,0,1
22.025,4.0,1,0
6.4958,18.0,0,1
7.75,29.0,0,1
50.4958,31.0,0,1
77.9583,63.0,1,0
80.0,62.0,1,0
31.3875,9.0,0,1
7.75,29.0,1,0
9.0,22.0,0,1
108.9,17.0,1,0
26.55,58.0,1,0
41.5792,3.0,1,0
34.375,16.0,0,1
7.2292,29.0,0,1
52.5542,47.0,1,0
27.75,5.0,1,0
21.0,27.0,1,0
6.8583,29.0,0,1
13.5,28.0,0,1
31.0,40.0,0,1
26.0,36.5,0,1
7.8958,29.0,0,1
26.0,37.0,0,1
13.0,32.5,1,0
13.0,23.0,0,1
8.05,16.0,0,1
23.0,34.0,1,0
211.5,27.0,0,1
7.8958,33.0,0,1
7.65,42.0,0,1
35.5,28.0,0,1
7.225,29.0,0,1
26.55,62.0,0,1
55.4417,25.0,0,1
26.2875,36.0,0,1
52.0,35.0,1,0
69.55,29.0,0,1
7.75,29.0,1,0
7.775,22.0,1,0
31.275,39.0,1,0
13.0,36.0,1,0
12.875,36.0,0,1
57.0,31.0,0,1
79.2,29.0,1,0
7.8958,30.0,0,1
8.4042,42.0,0,1
8.05,29.0,0,1
26.0,44.0,1,0
8.6625,21.0,0,1
56.4958,28.0,0,1
110.8833,39.0,1,0
151.55,0.92,0,1
7.75,29.0,0,1
135.6333,22.0,0,1
7.775,33.0,0,1
26.0,16.0,0,1
7.25,20.5,0,1
133.65,50.0,0,1
6.75,19.0,0,1
69.55,29.0,1,0
7.05,20.0,0,1
31.0,30.0,1,0
7.75,29.0,1,0
23.0,54.0,1,0
69.55,29.0,0,1
7.225,45.5,0,1
10.5,17.0,1,0
0.0,29.0,0,1
24.15,24.0,0,1
7.05,29.0,0,1
10.5,23.0,0,1
7.8542,20.0,0,1
7.7875,29.0,1,0
26.55,28.0,0,1
211.3375,43.0,1,0
31.275,2.0,1,0
91.0792,19.0,1,0
7.2292,28.5,0,1
7.8958,27.0,0,1
86.5,30.0,1,0
7.925,20.0,0,1
7.775,25.0,0,1
7.8958,29.0,0,1
16.1,26.0,1,0
7.7292,29.0,0,1
7.8958,29.0,0,1
29.7,37.0,0,1
7.7958,28.0,0,1
8.05,30.0,0,1
110.8833,17.0,0,1
26.0,29.0,1,0
14.4542,15.0,1,0
22.3583,29.0,1,0
120.0,11.0,0,1
7.8792,29.0,1,0
39.0,1.0,0,1
7.75,29.0,0,1
7.75,29.0,0,1
7.775,18.0,0,1
66.6,22.0,1,0
7.225,30.0,0,1
13.0,52.0,0,1
26.0,32.0,0,1
106.425,50.0,0,1
16.1,29.0,0,1
7.7333,29.0,1,0
10.5,36.0,0,1
13.0,42.0,0,1
14.4,28.0,1,0
34.375,9.0,1,0
113.275,58.0,0,1
8.6833,31.0,1,0
19.2583,24.0,1,0
28.7125,50.0,1,0
26.0,34.0,0,1
31.275,4.0,0,1
19.2583,5.0,1,0
16.1,29.0,1,0
7.8958,35.0,0,1
15.2458,29.0,0,1
14.5,0.67,0,1
7.925,21.0,0,1
12.475,5.0,1,0
73.5,21.0,0,1
7.55,42.0,0,1
106.425,30.0,1,0
9.8417,18.0,1,0
89.1042,29.0,1,0
24.0,28.0,1,0
30.6958,56.0,0,1
8.05,29.0,0,1
26.0,27.0,0,1
90.0,35.0,1,0
26.0,39.0,0,1
26.25,43.0,0,1
7.8542,31.0,1,0
27.0,24.0,1,0
27.75,33.0,1,0
10.5,32.0,0,1
56.9292,49.0,0,1
6.975,27.0,0,1
65.0,48.0,1,0
0.0,29.0,0,1
13.0,50.0,0,1
30.0708,14.0,1,0
7.8792,29.0,1,0
26.2875,42.0,0,1
120.0,36.0,1,0
83.1583,39.0,1,0
7.8542,19.0,1,0
7.7333,29.0,0,1
17.4,36.0,1,0
39.0,60.0,0,1
9.618264638145147,28.763470723709705,0,0
339.2280204273841,25.304557738911278,0,0
39.0,3.1757628394589217,0,0
12.475,5.498675618073298,0,0
19.653707278468715,13.21958182638388,1,0
7.75,29.0,1,0
20.798668851934863,33.30457980576728,1,0
17.565912706061034,22.425572856511696,0,0
26.292538214556203,35.96161360338133,0,1
40.057191840497175,17.809448900047297,1,0
11.721321044361467,29.660173537492685,1,0
7.8607586250489785,29.0,0,1
67.63135834170312,22.763969142002317,1,0
3.0978538643331603,23.713693897162702,0,1
7.227495724872078,23.7290518715551,0,0
247.58998933529656,20.613741392351756,1,0
13.0,35.13992982140253,1,0
263.0,23.590872761248175,1,0
18.169296284131875,4.574325248849579,1,0
12.774580532907137,29.346799180142867,0,0
90.63348444572658,50.04369018999493,0,0
52.31510790308249,36.137163129132055,0,0
12.33619656765337,4.896546595851063,0,0
26.202159028526342,35.63243812995211,0,0
7.868303376868359,19.0,1,0
7.077672812735111,26.89192335501567,0,0
23.077183180032396,29.0,1,0
12.07770731253611,4.703888583540366,0,0
7.8087493138407496,27.0,0,0
35.09741306872337,55.67793045497869,0,1
222.89928103645124,39.42879350225444,1,0
56.49407535242422,29.0,0,0
7.974999064655056,26.149448304657994,0,0
26.230779399605623,32.131873942631785,0,0
9.522807615697614,18.162492934676376,1,0
18.75,2.165764254495942,0,1
7.75,29.0,1,0
26.848008229322236,23.240041146611173,1,0
28.42195687617503,21.42195687617503,1,0
148.22995046778414,39.308992613854066,1,0
13.0,33.185633405548,0,0
7.5223186260575,18.069166995455138,1,0
40.059363217563366,17.81542736113262,1,0
78.09817256333791,51.45354268267807,1,0
14.861319510747332,29.0,0,1
110.38315618219222,16.198293955571774,0,0
26.39147775543703,35.95104301000577,0,1
7.6644196657607395,21.144196657607388,1,0
15.248777720199827,29.0,0,0
15.3373064239904,29.0,0,0
25.189971687272173,35.45998112484811,1,0
11.363575537981674,4.343259354522881,0,1
13.0,28.52103660620413,0,0
133.75776853227325,29.326027930035522,1,0
8.033359927717845,15.1999965248964,0,0
30.912716043604355,40.03704358892123,0,1
28.38109311007226,21.38109311007226,1,0
8.094802090956186,31.77607531193962,0,0
7.968168960087113,31.345351680696904,0,1
111.53896127186225,38.78424388039677,1,0
19.28944371648955,2.4088288038470655,0,1
75.40123491527372,60.063677859062615,1,0
30.464743991381784,30.494082469493737,1,0
11.200264957225437,29.378521598500235,1,0
56.78683865437422,31.422771411395832,0,1
7.650106268778384,22.0,1,0
69.01712019107661,24.0,1,0
26.55,46.158102132102314,0,1
8.973446511378869,21.0,1,0
8.360058607561497,27.0,0,0
53.052524084884595,36.07951188193292,1,0
12.564165013561194,46.55972497739801,1,0
30.130584679814255,34.0,0,0
15.172929690318414,39.160625004099515,1,0
52.86958615522308,32.25522797647866,1,0
52.030828821470905,35.389393270112464,0,0
13.0,33.60932619257393,1,0
7.75,29.0,1,0
10.35029295040516,17.227414627973324,1,0
13.699480324868581,41.49128703645921,1,0
8.086749867233111,31.941970839676124,0,0
21.561884000364298,29.868833251116243,1,0
26.378512264903243,28.3117958819941,0,0
18.93046148546568,25.39268697763092,0,0
76.09444911052354,10.799533107264656,0,0
26.31430643572936,2.5388110326789044,0,0
7.918213349692384,20.024678728391333,0,0
7.8611128501099135,27.0,0,0
13.79065651136558,1.0964076112469054,0,0
26.430904578304037,35.0,0,1
60.11712917891063,43.1707871000215,1,0
41.08020500835042,3.5166435347982894,0,0
53.13767810515286,32.98067789479341,0,0
7.755422424609962,29.0,0,1
7.878054063220513,31.6630782031001,0,1
55.49409304678253,50.0532895069486,0,0
512.3292,35.97934900053427,0,0
7.804795756329885,15.758378653836141,1,0
11.375912959575976,42.64003430164494,0,0
20.045544083513523,56.150391682515696,1,0
17.559388025456848,24.82336577289279,0,0
31.253427317145714,30.67580617905524,1,0
7.4197845321146465,15.371018156408851,1,0
11.280286613482616,1.1273493445526048,1,0
512.3292,35.273542034815634,0,1
69.68146199411193,18.364843010426146,0,0
11.557181115228211,1.5569078329178567,1,0
12.975215619910271,27.952791656971943,1,0
12.79686737965208,29.687488276387814,1,0
8.083936911871248,26.215507677113557,0,0
76.81011771712329,49.157888228533224,1,0
69.75754512849073,27.229730318758108,1,0
80.29013609265354,20.793358068545285,1,0
87.24659192078619,34.06655988683741,0,0
62.44650471465346,19.109204283583978,1,0
211.3375,42.281443894473114,1,0
12.481324811397226,23.37758977367667,1,0
26.48098861132788,35.424685468751505,0,1
36.195053178958545,49.496679921336906,0,0
31.179635476941364,39.072849151270376,0,0
33.97304211537897,27.444742587410538,0,1
7.824916450947853,29.0,0,1
26.454216591115152,7.591566817769694,1,0
12.42639570637532,30.11753185596203,0,0
3.608719272399946,26.03475821430823,0,1
30.56692226567297,40.528272425380614,0,0
14.61515698918758,23.283140318807405,1,0
7.426317146936947,15.396059702807294,1,0
53.1,34.130842623717015,1,0
89.26838207728058,46.98392180164514,0,1
7.75,29.0,1,0
7.988992964918881,17.511943719351045,0,0
116.7579853528433,13.133676427099733,0,1
26.33853340564749,57.76172778101125,1,0
15.64080484771582,29.0,1,0
22.497327239701093,34.25133638014945,1,0
11.551000336066188,12.2888407807622,0,0
119.43898412165242,12.001069225304223,0,0
52.78284279016429,24.552192469922407,0,0
12.082107344146397,4.0,0,0
7.249048409463681,22.0,0,0
91.02251634377392,33.539262366037256,1,0
7.75,29.0,1,0
53.1,33.200587884531,1,0
64.84296067147581,24.016429629591475,0,0
18.78582024827453,24.0,1,0
89.70431124243613,33.01949927954546,1,0
7.347634717817193,21.785152912023136,0,1
84.09975749439796,37.30961936547631,1,0
26.22747440859752,53.308718670509386,1,0
18.61889170445199,3.0639552661209812,0,0
7.762859310101635,29.0,0,1
12.337292003315412,1.9700685358601144,0,0
15.5,29.0,1,0
16.307962270530794,38.64736419265262,1,0
8.144153121373328,19.0,0,1
106.99846152551623,26.987878855874342,1,0
56.4958,31.847956467247045,0,1
7.75,29.0,1,0
79.59003192259738,62.20079741264761,1,0
14.01320089149232,22.521791747467166,0,0
9.30200354743429,30.251424066750104,0,1
77.58505364699037,45.36281743942983,0,0
20.299321988446074,0.9743204044031961,0,1
89.85889353346289,25.17876691917524,1,0
83.09355058658656,55.9470525689644,1,0
